nMC	Rp	Porb	Mp	ecc	inc	Omega	omega	theta	Abond	AgeomVIS	AgeomMIR	zodis	a	rp	ang_sep	ang_sep_max	Finc	f	Tp	nstar	Rs	Ms	Ts	dist	stype	ra	dec	lGal	bGal	
Nuniverse	Rp	Porb	Mp	ep	ip	Omegap	omegap	thetap	Abond	AgeomVIS	AgeomMIR	z	ap	rp	AngSep	maxAngSep	Fp	fp	Tp	Nstar	Rs	Ms	Ts	Ds	Stype	RA	Dec	lGal	bGal	
0	2.55899	1.21237	6.46922	0.00000	0.36825	0.83082	4.28658	0.46104	0.07323	0.11134	0.07928	351.98689	0.02225	0.02225	0.00139	0.00149	1986.80254	0.51902	1823.20348	0	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	
0	1.62557	95.32925	2.94136	0.00000	0.36825	4.71701	0.58424	3.76621	0.17084	0.46161	0.06438	351.98689	0.40843	0.40843	0.02577	0.02736	5.89796	0.50485	413.89362	0	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	
0	0.64641	413.44526	0.18259	0.00000	0.36825	3.59078	0.90651	0.27668	0.54602	0.17279	0.01797	351.98689	1.08622	1.08622	0.06861	0.07277	0.83390	0.16952	218.31895	0	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	
1	1.45874	51.20469	5.36760	0.00000	2.01016	2.62388	0.47298	2.25944	0.53153	0.47091	0.09864	0.42148	0.26988	0.26988	0.01687	0.01808	13.50798	0.15915	441.44066	0	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	
1	2.03712	98.57858	4.45356	0.00000	2.01016	1.71757	2.04617	2.98199	0.32327	0.59087	0.05960	0.42148	0.41766	0.41766	0.01427	0.02798	5.64018	0.87606	389.02824	0	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	
1	1.58736	410.25037	3.13020	0.00000	2.01016	3.43621	5.31475	1.19768	0.18973	0.29084	0.05296	0.42148	1.08061	1.08061	0.07085	0.07240	0.84257	0.22224	252.99510	0	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	
2	0.54620	0.79487	0.07964	0.00000	0.73661	3.32612	0.48262	3.92870	0.09922	0.20122	0.07285	7.42939	0.01679	0.01679	0.00086	0.00113	3488.28596	0.70719	2083.82475	0	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	
2	0.62435	16.66487	0.15150	0.00000	0.73661	5.66116	5.79912	0.41748	0.44904	0.56731	0.00300	7.42939	0.12769	0.12769	0.00855	0.00855	60.33939	0.34098	668.32070	0	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	
2	2.89465	113.21805	5.48009	0.00000	0.73661	5.90848	1.53179	5.53765	0.55296	0.42645	0.01717	7.42939	0.45805	0.45805	0.02700	0.03069	4.68938	0.11730	334.90239	0	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	
